ID,sp_id,Order,Family,Genus,Species,AcceptedFamily_COL,AcceptedGenus_COL,AcceptedName_COL,Species_ph_Fritz,Species_ph_Upham,Notes,tax_id,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantOther,Vend_Vect_Fish_Unk,Vend_Vect_Fish_Unk_Ins_Scav,Fruit_Nect_Seed_Plant,Locomotion,BM_g,Diet_class,Diet_cat
307,M_270,Primates,Lepilemuridae,Lepilemur,Lepilemur mustelinus,Lepilemuridae,Lepilemur,Lepilemur mustelinus,Lepilemur_mustelinus,Lepilemur_mustelinus,ET,11620,0,0,0,0,0,0,0,0,0,100,0,0,100,Arboreal,773,Herbivore,Herbivore
308,M_271,Primates,Lepilemuridae,Lepilemur,Lepilemur ruficaudatus,Lepilemuridae,Lepilemur,Lepilemur ruficaudatus,Lepilemur_ruficaudatus,Lepilemur_ruficaudatus,ET,11621,0,0,0,0,0,0,0,0,0,100,0,0,100,Arboreal,700,Herbivore,Herbivore
325,M_278,Primates,Cercopithecidae,Lophocebus,Lophocebus albigena,Cercopithecidae,Lophocebus,Lophocebus albigena,Lophocebus_albigena,Lophocebus_albigena,ET,12309,0,0,0,0,0,0,50,0,0,50,0,0,100,Semiarboreal,7690.065,Herbivore,OmnHerbFrugSeed
326,M_279,Primates,Cercopithecidae,Lophocebus,Lophocebus aterrimus,Cercopithecidae,Lophocebus,Lophocebus aterrimus,Lophocebus_aterrimus,Lophocebus_aterrimus,ET,12310,0,0,0,0,0,0,40,20,40,0,0,0,100,Semiarboreal,6510.37,Herbivore,OmnHerbFrugSeed
331,M_282,Primates,Cercopithecidae,Macaca,Macaca assamensis,Cercopithecidae,Macaca,Macaca assamensis,Macaca_assamensis,Macaca_assamensis,ET,12549,10,0,0,0,0,0,30,0,20,40,0,10,90,Semiarboreal,12000,Herbivore,OmnHerbFrugSeed
332,M_283,Primates,Cercopithecidae,Macaca,Macaca fascicularis,Cercopithecidae,Macaca,Macaca fascicularis,Macaca_fascicularis,Macaca_fascicularis,ET,12551,50,0,0,0,0,0,40,0,0,10,0,50,50,Semiarboreal,3991.5,Omnivore,OmnCarnIns
333,M_284,Primates,Cercopithecidae,Macaca,Macaca fuscata,Cercopithecidae,Macaca,Macaca fuscata,Macaca_fuscata,Macaca_fuscata,ET,12552,10,0,0,0,0,0,30,0,20,40,0,10,90,Semiarboreal,10400,Herbivore,OmnHerbFrugSeed
334,M_285,Primates,Cercopithecidae,Macaca,Macaca hecki,Cercopithecidae,Macaca,Macaca hecki,Macaca_hecki,Macaca_hecki,ET,12570,10,0,0,0,0,0,60,0,10,20,0,10,90,Semiarboreal,5786.958,Herbivore,OmnHerbFrugSeed
335,M_286,Primates,Cercopithecidae,Macaca,Macaca leonina,Cercopithecidae,Macaca,Macaca leonina,Macaca_leonina,Macaca_leonina,ET,39792,10,0,0,0,0,0,80,0,0,10,0,10,90,Semiarboreal,5786.958,Herbivore,OmnHerbFrugSeed
336,M_287,Primates,Cercopithecidae,Macaca,Macaca mulatta,Cercopithecidae,Macaca,Macaca mulatta,Macaca_mulatta,Macaca_mulatta,ET,12554,10,0,0,0,0,0,30,0,20,40,0,10,90,Semiarboreal,3713,Herbivore,OmnHerbFrugSeed
337,M_288,Primates,Cercopithecidae,Macaca,Macaca nemestrina,Cercopithecidae,Macaca,Macaca nemestrina,Macaca_nemestrina,Macaca_nemestrina,ET,12555,10,0,0,0,0,0,70,0,10,10,0,10,90,Semiarboreal,6296.5,Herbivore,OmnHerbFrugSeed
338,M_289,Primates,Cercopithecidae,Macaca,Macaca nigra,Cercopithecidae,Macaca,Macaca nigra,Macaca_nigra,Macaca_nigra,ET,12556,10,0,0,0,0,0,70,0,10,10,0,10,90,Semiarboreal,6400,Herbivore,OmnHerbFrugSeed
339,M_290,Primates,Cercopithecidae,Macaca,Macaca nigrescens,Cercopithecidae,Macaca,Macaca nigrescens,Macaca_nigrescens,Macaca_nigrescens,ET,12568,10,0,0,0,0,0,80,0,0,10,0,10,90,Semiarboreal,5786.958,Herbivore,OmnHerbFrugSeed
340,M_291,Primates,Cercopithecidae,Macaca,Macaca radiata,Cercopithecidae,Macaca,Macaca radiata,Macaca_radiata,Macaca_radiata,ET,12558,10,0,0,0,0,0,30,0,20,40,0,10,90,Semiarboreal,3690,Herbivore,OmnHerbFrugSeed
341,M_292,Primates,Cercopithecidae,Macaca,Macaca silenus,Cercopithecidae,Macaca,Macaca silenus,Macaca_silenus,Macaca_silenus,ET,12559,10,0,0,0,0,0,30,0,20,40,0,10,90,Semiarboreal,4750,Herbivore,OmnHerbFrugSeed
342,M_293,Primates,Cercopithecidae,Macaca,Macaca sinica,Cercopithecidae,Macaca,Macaca sinica,Macaca_sinica,Macaca_sinica,ET,12560,10,0,0,0,0,0,30,0,20,40,0,10,90,Semiarboreal,3590,Herbivore,OmnHerbFrugSeed
343,M_294,Primates,Cercopithecidae,Macaca,Macaca sylvanus,Cercopithecidae,Macaca,Macaca sylvanus,Macaca_sylvanus,Macaca_sylvanus,ET,12561,10,0,0,0,0,0,30,0,20,40,0,10,90,Semiarboreal,7000.032,Herbivore,OmnHerbFrugSeed
350,M_299,Primates,Cercopithecidae,Mandrillus,Mandrillus sphinx,Cercopithecidae,Mandrillus,Mandrillus sphinx,Mandrillus_sphinx,Mandrillus_sphinx,ET,12754,10,0,0,0,10,0,40,0,30,10,10,20,80,Terrestrial,18249.88,Herbivore,OmnHerbFrugSeed
366,M_617,Primates,Cheirogaleidae,Microcebus,Microcebus berthae,Cheirogaleidae,Microcebus,Microcebus berthae,NA,Microcebus_berthae,ET,41573,20,0,20,0,0,0,30,10,0,20,20,40,60,Arboreal,33.45,Omnivore,OmnHerbFrugSeed
367,M_614,Primates,Cheirogaleidae,Microcebus,Microcebus danfossi,Cheirogaleidae,Microcebus,Microcebus danfossi,NA,Microcebus_danfossi,ET,136347,20,0,20,0,0,0,30,10,0,20,20,40,60,Arboreal,52,Omnivore,OmnHerbFrugSeed
368,M_616,Primates,Cheirogaleidae,Microcebus,Microcebus griseorufus,Cheirogaleidae,Microcebus,Microcebus griseorufus,Microcebus_griseorufus,Microcebus_griseorufus,ET,136637,20,0,20,0,0,0,30,10,0,20,20,40,60,Arboreal,70.24,Omnivore,OmnHerbFrugSeed
369,M_310,Primates,Cheirogaleidae,Microcebus,Microcebus murinus,Cheirogaleidae,Microcebus,Microcebus murinus,Microcebus_murinus,Microcebus_murinus,ET,163314248,20,0,20,0,0,0,30,10,0,20,20,40,60,Arboreal,69,Omnivore,OmnHerbFrugSeed
370,M_311,Primates,Cheirogaleidae,Microcebus,Microcebus myoxinus,Cheirogaleidae,Microcebus,Microcebus myoxinus,Microcebus_myoxinus,Microcebus_myoxinus,ET,13325,20,0,20,0,0,0,30,10,0,20,20,40,60,Arboreal,30,Omnivore,OmnHerbFrugSeed
371,M_312,Primates,Cheirogaleidae,Microcebus,Microcebus rufus,Cheirogaleidae,Microcebus,Microcebus rufus,Microcebus_rufus,Microcebus_rufus,ET,13324,20,0,20,0,0,0,30,10,0,20,20,40,60,Arboreal,42.5,Omnivore,OmnHerbFrugSeed
374,M_314,Primates,Cercopithecidae,Miopithecus,Miopithecus talapoin,Cercopithecidae,Miopithecus,Miopithecus talapoin,Miopithecus_talapoin,Miopithecus_talapoin,ET,13572,50,0,0,0,0,0,50,0,0,0,0,50,50,Arboreal,1250,Omnivore,OmnCarnIns
375,M_315,Primates,Cheirogaleidae,Mirza,Mirza coquereli,Cheirogaleidae,Mirza,Mirza coquereli,Mirza_coquereli,Mirza_coquereli,ET,13584,60,0,0,0,10,0,10,0,10,10,10,70,30,Arboreal,308,Omnivore,OmnCarnIns
